No,Vendor,No2,Level,County,03-Dec,05-Dec,11-Dec,18-Dec,23-Dec,09-Jan,30-Jan,03-Feb,Grand_Total,Percentage
138,CROWN SPECIALIST CENTRE,138,P 3B,MOMBASA,2605530,66570,3041320,1855600,155200,1946400,273760,0,9944381,0
139,St John Hospital,139,P 4,NAIROBI,1769530,3670900,1650220,574750,3239970,559330,3974440,0,15439140,0
140,MEDITEST DIAGNOSTIC SERVICES LTD,140,P 4,NAIROBI,1770586,2738532,2899792,254369,2081810,1031831,12000,0,10788920,0
142,Komarock Healthcare-Kathwana,142,P 5,THARAKA-NITHI,979440,666520,2899590,2109460,829620,5075400,5388180,0,17948210,0
144,LIFECARE HOSPITAL MIGORI,144,P 4,MIGORI,2824470,3101010,1258970,267360,3180060,471458,3146870,0,14250198,0
146,Samjomen Hospital,146,P 4,MIGORI,1295600,1033930,1897880,1685840,1444800,1934400,3651440,0,12943890,0
147,HEMA HOSPITAL,147,P 5,KISII,2655400,2178060,1544020,916960,1845400,654280,1829520,0,11623640,0
148,Jesmo Hospital,148,P 3B,KISII,764470,292560,2155920,2915120,1128960,5199040,9000400,0,21456470,0
155,RELIANCE HOSPITAL LIMITED,155,P 5,NAIROBI,1510600,3366240,1816280,300420,2193940,591800,2478370,0,12257650,0
156,LUTON MEDICAL HOSPITAL LIMITED,156,P 4,NAIROBI,2537170,2602670,1471650,343180,1496570,398890,1154950,0,10005080,0
158,CANCER CARE KENYA LIMITED,158,P 4,NAIROBI,1280700,3059700,1740800,829500,2743300,801400,3890800,0,14346200,0
161,Ladnan Medical Clinic,161,P 4,WAJIR,970110,1136440,2993970,1322220,412830,2939490,3177390,0,12952450,0
163,Lumino Maternity and Nursing Home,163,P 4,KAKAMEGA,1608160,33970,3214400,1570960,398720,2341120,1289040,0,10456370,0
180,Randburg Community Hospital,180,P 4,KISUMU,1055040,31800,2380560,2237173,564480,4347840,3271280,0,13888173,0
185,Le Maiyan medical centre ltd,185,P 4,KAJIADO,1638480,344480,2708960,1034640,344880,123600,606960,0,6802000,0
190,Juja Road Hospital (Nairobi),190,P 4,NAIROBI,1386160,240320,2620640,1207280,400240,2073360,2296560,0,10224560,0
192,Sori Lakeside Nursing and Maternity Home,192,P 4,MIGORI,1483480,574370,1319680,1360760,1081680,2703760,2823840,0,11347570,0
198,Migori County Referral Hospital,198,G 4,MIGORI,703480,283760,3267240,997530,502320,2620960,2345800,0,10721090,0
201,Manga Sub County Hospital,201,G 4,NYAMIRA,355960,112650,1101920,1976000,2126320,2063840,4820080,0,12556770,0
202,BNM,202,P 4,MIGORI,400980,1544900,1466310,1317240,935610,1731710,3913100,0,11309850,0
210,St Akidiva Mindira Hospital - Mabera,210,P 4,MIGORI,882720,81240,1674400,2148320,722160,2954160,4449280,0,12912280,0
212,Vihiga County Referral Hospital,212,G 4,VIHIGA,124320,80640,2926301,1894490,477240,2696370,3892545,0,12091906,0
214,Ruiru Sub-County Hospital,214,G 4,KIAMBU,768320,416990,2039520,1791600,422000,1883520,3818640,0,11140590,0
218,Suba Sub-Couty Hospital,218,G 4,HOMA BAY,567680,1569040,2347840,870160,760080,571120,703040,0,7388960,0
221,Siaya Medical Centre,221,P 4,SIAYA,1102460,363280,1490000,1753440,598000,2355520,3514640,0,11177340,0
225,QASIMS HOSPITAL LIMITED,225,P 4,KISII,312200,145430,1822880,1911360,936400,4189120,5555040,0,14872430,0
229,Kima Mission Hospital,229,M 4,VIHIGA,1034730,228364,1532400,1709520,514080,3514160,4367760,0,12901014,0
235,Tsavo Comprehensive Annex Medical Clinic,235,P 4,TAITA-TAVETA,1911360,20160,1278960,1370320,305280,727120,750960,0,6364160,0
237,Kisegi Sub-District Hospital,237,G 4,HOMA BAY,67200,211680,1774000,1988880,803040,4949280,5574160,0,15368240,0
238,FRIENDS LUGULU HOSPITAL,238,M 4,BUNGOMA,1080291,1789580,1137510,811460,1955335,1090165,2738505,0,10602846,0
239,Shalom Community Hospital (Athi River),239,P 4,KAJIADO,771680,493520,1998960,1101760,284720,1914160,2133760,0,8698560,0
242,Medstops Healthcare Kenya,242,P 4,NYAMIRA,893760,197440,1457920,1557440,514080,2515600,2640560,0,9776800,0
244,Nyandiwa Level IV Hospital,244,G 4,HOMA BAY,285600,106720,1454720,1447920,1243120,5442960,10909200,0,20890240,0
251,Lamheal Maternity & Nursing Home,251,P 3B,NYAMIRA,472640,70480,1517520,1535440,869120,4189840,4150400,0,12805440,0
253,Prince Richard Health Care Clinic,253,P 3B,HOMA BAY,387120,123200,2184500,1175160,575680,2038640,2981920,0,9466220,0
255,Greenview Nursing Home,255,P 4,KERICHO,797750,577350,1691830,1024140,330690,1673950,1488540,0,7584250,0
256,Cottolengo Mission Hospital,256,M 4,MERU,334512,2021357,1145680,913760,2083360,768320,2012320,0,9279309,0
258,New Busia Maternity & Nursing Home,258,P 4,BUSIA,898813,321720,1733520,821690,628560,2363210,2181750,0,8949263,0
262,LAMU COUNTY REFERRAL HOSPITAL,262,G 4,LAMU,641940,2649670,568680,482860,1248830,684580,2192020,0,8468580,0
264,Goodwill Cottage Hospital,264,P 4,TRANS-NZOIA,668400,2559118,843280,208880,2392000,1281198,170240,0,8123116,0
267,Evans Healthcare Clinic LTD,267,P 4,HOMA BAY,546740,149240,1200400,1712400,621520,2936480,3415200,0,10581980,0
269,Sultan Hamud Sub County Hospital,269,G 4,MAKUENI,652040,5300,1926560,1144080,485200,1260800,2468960,0,7942940,0
270,Our Lady of Lourdes Mutomo Hospital,270,M 5,KIRINYAGA,36720,2306000,1536560,328320,1743360,574480,1589200,0,8114640,0
272,BONDO SUB-COUNTY REFERRAL HOSPITAL,272,G 4,SIAYA,766545,2113480,738480,544800,2312730,268110,2081970,0,8826115,0
276,Ladopharma Medical Center,276,P 3B,MIGORI,89600,138320,1582560,1579200,719040,2892960,3655680,0,10657360,0
277,Magunga Level IV Hospital,277,G 3B,HOMA BAY,16720,4480,715600,2402080,945280,1854720,6632920,0,12571800,0
289,Whiterose Medical Centre,289,P 3A,KIRINYAGA,634170,123620,1233420,1192800,789600,2349490,3505830,0,9828930,0
290,Mimosa Cottage Hospital,290,P 3B,NAIROBI,350000,10000,2110000,1040000,370000,2630000,2900000,0,9410000,0
291,Ranen ochuna medical centre,291,P 3A,MIGORI,458000,42560,1425520,1379520,539840,2255040,2620720,0,8721200,0
296,Nyabohanse Medical Centre,296,P 3B,MIGORI,514520,43190,1194800,1210640,827600,2624480,1553440,0,7968670,0
297,St Mulumba Mission Hospital,297,M 4,KIAMBU,655760,163440,1395119,1253760,298080,922720,1291680,0,5980559,0
299,KIMBIMBI SUB-COUNTY HOSPITAL,299,G 4,KIRINYAGA,340250,252000,2104799,703600,319040,2043120,1226640,0,6989449,0
301,ST JUDES NURSING HOME HOSPITAL,301,P 3B,NAIROBI,488640,1682300,1166690,372270,2012790,262180,1350270,0,7335140,0
302,Al Farooq Hospital,302,P 4,MOMBASA,414400,2153840,817600,302400,1697679,818159,187440,0,6391518,0
303,Nyangiela Sub District,303,G 4,HOMA BAY,60480,1287840,1390720,930640,3460400,53620,5022720,0,12206420,0
306,THE RHAMU HOSPITAL IMAGING AND DIAGNOSTIC CENTRE,306,P 4,MANDERA,1165920,211680,1223040,786240,235200,3222240,1145760,0,7990080,0
311,Dagoretti Subcounty Hospital Mutuini,311,G 4,NAIROBI,433040,190000,1424240,1288240,197200,2579040,1569200,0,7680960,0
312,Imaraat Nursing Home,312,P 3B,WAJIR,492800,26880,1135680,1509760,367360,4406080,3872960,0,11811520,0
313,MPEKETONI SUB COUNTY HOSPITAL,313,G 4,UNKNOWN,652450,1535280,1060480,281200,835680,315280,2291280,0,6971650,0
319,Palmcare Sinai Hospital,319,P 4,UASIN GISHU,219500,2246252,716120,219240,966620,281160,768440,0,5417332,0
325,Sonak Community Medical Centre,325,P 3B,KAKAMEGA,338240,30930,965280,1569040,450240,1792880,2516400,0,7663010,0
329,Moshi Clinic,329,P 3A,MIGORI,596720,239410,945280,896880,660800,2242800,2795360,0,8377250,0
332,Nabuala Medical Centre,332,P 4,BUNGOMA,60400,70720,981120,1373440,844880,3798240,5577440,0,12706240,0
341,Nairobi East Hospital Ltd,341,P 5,NAIROBI,276900,617700,1057430,1133110,172600,2714230,830700,0,6802670,0
344,Wangige Sub County Hospital,344,G 4,KIAMBU,566000,1408060,981660,247520,860160,290160,1978080,0,6331640,0
347,Makindu Medical Centre,347,P 4,MAKUENI,371600,1555920,862080,384640,1389920,226600,828640,0,5619400,0
348,Fino Nursing Home Limited,348,P 4,MANDERA,611520,166880,926240,1205120,262080,1348480,1161440,0,5681760,0
351,Kombewa County Referral Hospital,351,G 4,KISUMU,770560,373520,1104800,611200,284720,1154720,1110640,0,5410160,0
352,ELWAK COTTAGE NURSING HOME,352,P 4,MANDERA,1108800,157920,935200,577920,346080,1216320,1575840,0,5918080,0
353,Oruba Nursing and Maternity Home,353,P 3B,MIGORI,725760,260700,787540,948560,403200,1465840,1774640,0,6366240,0
356,St Orsola Mission Hospital,356,M 4,THARAKA-NITHI,1332479,198000,1075200,395120,57040,1899840,1953360,0,6911039,0
357,Bute Sub county Hospital,357,G 4,WAJIR,955520,13440,1116160,822240,137680,1987200,1882160,0,6914400,0
358,Toric's Nursing Home,358,P 4,HOMA BAY,184800,25680,1169200,1323840,336000,1605840,2372160,0,7017520,0
359,Balozi Hospital LTD,359,P 5,NAIROBI,211120,449640,1658080,681600,1218000,603040,146160,0,4967640,0
361,The Samari-Med Centre,361,P 3B,HOMA BAY,576720,156830,869700,951140,436480,1403520,1544160,0,5938550,0
362,Newlife Cottage Hospital,362,P 3B,NAIROBI,1395200,23520,560000,894800,109680,1276800,377120,0,4637120,0
367,Ruiru Nursing Hospital Ltd,367,P 4,KIAMBU,354400,179600,549760,1380080,470320,1506080,1584560,0,6024800,0
372,Mwingi Medicare Centre,372,P 4,KITUI,1019658,627731,855065,317600,87360,284480,145120,0,3337014,0
373,Ojele Memorial Hospital,373,P 4,MIGORI,527520,40320,839600,1123480,362880,1867960,1616160,0,6377920,0
374,Ikerege Medical Center,374,P 3B,MIGORI,248640,44800,958720,1124480,504000,1980160,2929920,0,7790720,0
375,Nawal Nursing Home,375,P 4,MANDERA,361520,57880,936680,1159200,362880,1336880,1360800,0,5575840,0
378,Alexandria Cancer Centre & Palliative care Hospital,378,P 4,UASIN GISHU,337833,287565,989782,653930,561183,667526,55260,0,3553079,0
379,St.Teresa Hospital Kiambu,379,P 4,KIAMBU,436080,935040,916560,535120,1654400,527480,480960,0,5485640,0
381,Nyabondo Rehabilitation Centre,381,P 4,KISUMU,104160,1544480,686560,473760,1162560,617120,2157120,0,6745760,0
382,Shelly Beach Hospital,382,P 4,KWALE,228685,431135,703351,1138400,304320,1260960,1456330,0,5523181,0
384,Namo Hospital Limited,384,P 4,TURKANA,537600,99680,1413440,617760,107440,312400,261760,0,3350080,0
386,Neoglobal Medicare Hospital,386,P 3B,MIGORI,493840,268800,790720,819840,394240,1808720,1662960,0,6239120,0
387,Nyamagwa Health Centre,387,M 3B,KISII,493520,2240,803840,1055920,407360,1828240,2253920,0,6845040,0
389,Bar Korwa Health Centre,389,M 3,KISUMU,627440,78240,674800,968720,392000,3015040,2443840,0,8200080,0
390,Asumbi Mission Hospital,390,M 4,HOMA BAY,245120,141120,971200,1247120,134400,2197360,1363200,0,6299520,0
391,Tawa Sub-County Hospial,391,G 4,MAKUENI,601680,53760,769280,830960,482400,1175520,1544960,0,5458560,0
394,Mothersolbrit Nursing Home,394,P 3B,MIGORI,414400,108860,721280,1144640,324800,2325120,1597120,0,6636220,0
395,Oasis Doctors Plaza Kakamega,395,P 4,KAKAMEGA,198640,33600,1003170,1171670,302360,2089190,1699700,0,6498330,0
