Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-56265,015261ST. MARY GORETTY NYAMONYE MISSION HEALTH CENTRE,SIAYA,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-0.06564696176,34.248353736491,Siaya,Success,
CN-56477,000294CONSOLATA HOSPITAL KYENI -KITOLOLONI CATHOLIC DISPENSARY,EMBU,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-0.5379964,37.4543311,Embu,Success,
CN-56882,006763KATABOI DISPENSARY,TURKANA,FAITH BASED ORGANIZATION (FBO),LEVEL 2,3.186636109974,35.449603095023,Turkana,Success,
CN-57141,014654NAKWAMORU HEALTH CENTRE,TURKANA,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,1.1893381,36.1087687,Health Centre,Success,
CN-57376,002865CATHOLIC MISSION DISPENSARY MAKUENI,MAKUENI,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-1.960707833918,37.686655295403,Makueni,Success,
CN-57392,005774CDM ICHAGAKI HEALTH CENTRE,MURANGA,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-0.8,37.1,"Ichagaki, Murang'A",Success,
CN-57711,001281HEKIMA DISPENSARY,NAKURU,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-0.3020422,36.0723128,Dispensary,Success,
CN-57950,016391KAGONDO EMMANUEL MISSION HOSPITAL,KIAMBU,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-1.1672396,36.8255013,Kiambu,Success,
CN-58054,002772ST. JOSEPH HEALTH CENTRE NGANDO,NAIROBI,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-1.30412,36.73978,"Ngando, Nairobi",Success,
CN-58320,002307ACK KIRIARI DISPENSARY,EMBU,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-0.5379964,37.4543311,Embu,Success,
CN-58880,006776MARY IMMACULATE HEALTH CENTRE KAPTAGAT,UASIN GISHU,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,0.48234,35.4121,"Kaptagat, Uasin Gishu",Success,
CN-59058,016123CDM KARIA CATHOLIC DISPENSARY,KIRINYAGA,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-0.525012949373,37.320744609382,Kirinyaga,Success,
CN-59574,001275MARY IMMACULATE DISPENSARY NANYUKI,LAIKIPIA,FAITH BASED ORGANIZATION (FBO),LEVEL 2,0.0153453,37.0786887,"Nanyuki, Laikipia",Success,
CN-59758,000637CONSOLATA HOSPITAL MATHARI,NYERI,FAITH BASED ORGANIZATION (FBO),LEVEL 5,-0.40713,36.92117,"Mathari, Nyeri",Success,
CN-60183,001029ST. ANTHONY CATHOLIC HOSPITAL,NAKURU,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-0.2806559,36.0794189,Nakuru,Success,
CN-60349,016712GOOD SAMARITAN CATHOLIC MISSION HOSPITAL,BARINGO,FAITH BASED ORGANIZATION (FBO),LEVEL 4,0.671904478344,35.940931127722,Baringo,Success,
CN-60464,007116LANGAS RACECOURSE NURSING HOME,UASIN GISHU,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,0.521314476021,35.31977624114,Uasin Gishu,Success,
CN-60728,001311KAIBOI MISSION HEALTH CENTRE,NANDI,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,0.182680842869,35.108710560862,Nandi,Success,
CN-60752,001343GOOD SHEPHERD ANGIYA DISPENSARY,HOMA BAY,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-0.545235884388,34.356395993113,Homa Bay,Success,
CN-60952,020811AHMADIYYA MUSLIM HOSPITAL,KAKAMEGA,FAITH BASED ORGANIZATION (FBO),LEVEL 4,0.28422,34.75229,Kakamega,Success,
CN-61251,000823ST. ORSOLA MISSION HOSPITAL,THARAKA-NITHI,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-0.3163682,37.9003039,St. Orsola Mission Hospital,Success,
CN-61373,000259MOTHER AMADEA MISSION HOSPITAL,MOMBASA,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-4.0574645,39.663945,Mombasa,Success,
