Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-28517,FREVANE HOSPITAL,EMBU,PRIVATE,LEVEL 4,-0.4063725,37.5989713,Hospital,Success,
CN-28561,FIIQ MEDICAL CLINIC AND EYE CARE CENTRE LIMITED,WAJIR,PRIVATE,LEVEL 3A,1.75504011033,40.017147679353,Wajir,Success,
CN-28711,IGENA MEDICAL CLINIC,MIGORI,PRIVATE,LEVEL 2,-0.8471809,34.1848542,Clinic,Success,
CN-28727,KIANJOKOMA PURE MEDICARE HOSPITAL,EMBU,PRIVATE,LEVEL 3A,-0.41667,37.51667,"Kianjokoma, Embu",Success,
CN-28778,MAMA FREDA MEDICAL CENTRE,MIGORI,PRIVATE,LEVEL 3B,-0.989136495207,34.364493855317,Migori,Success,
CN-28785,ELDORA EYE & OPTICAL CENTRE LIMITED,UASIN GISHU,PRIVATE,LEVEL 2,0.521314476021,35.31977624114,Uasin Gishu,Success,
CN-28865,TIMELINE HEALTHCARE LIMITED,MANDERA,PRIVATE,LEVEL 3B,3.370055804436,40.694029088396,Mandera,Success,
CN-28887,NEEMA HOSPITAL,KIAMBU,PRIVATE,LEVEL 4,-1.0174562,36.9032367,Hospital,Success,
CN-28889,SPACE CARE HEALTH SERVICES,NAIROBI,PRIVATE,LEVEL 2,-1.2843292,36.8210593,AAR Health Services,Success,
CN-28924,UMI MEDICAL CENTRE LIMITED,MANDERA,PRIVATE,LEVEL 3A,3.370055804436,40.694029088396,Mandera,Success,
CN-28929,AHERO MEDICAL CENTER,KISUMU,PRIVATE,LEVEL 3B,-0.1725851,34.9187349,"Ahero, Kisumu",Success,
CN-28947,MAENDELEO HEALTH SERVICES,BUNGOMA,PRIVATE,LEVEL 3A,0.748950071987,34.640152743934,Bungoma,Success,
CN-28991,TRUST OPTICIANS LIMITED,NAIROBI,PRIVATE,LEVEL 2,-1.2857857,36.8200253,Nairobi,Success,
CN-29011,SAYAYI HOSPITAL LIMITED,MIGORI,PRIVATE,LEVEL 3B,-0.989136495207,34.364493855317,Migori,Success,
CN-29031,NDHIWA BORA BORA MEDICAL CENTRE,HOMA BAY,PRIVATE,LEVEL 2,-0.741696585397,34.379984109323,"Ndhiwa, Homa Bay",Success,
CN-29045,MERU AVENUE MEDICAL PLAZA,MERU,PRIVATE,LEVEL 2,0.046389,37.6527529,Meru,Success,
CN-29057,SHEBA MEDICAL CENTRE LTD,NAIROBI,PRIVATE,LEVEL 2,-1.2697736,36.845211,Park Medical Center Ltd,Success,
CN-29059,ST. JOHNS HOSPITAL LTD,NAIROBI,PRIVATE,LEVEL 4,-1.2035229,36.914697,Saint John Hospital,Success,
CN-29087,BLISS HEALTHCARE LIMITED KERUGOYA,KIRINYAGA,PRIVATE,LEVEL 2,-0.49887,37.28031,"Kerugoya, Kirinyaga",Success,
CN-29116,FIGO CARE PLUS (K) LIMITED,NAIROBI,PRIVATE,LEVEL 3B,-1.2857857,36.8200253,Nairobi,Success,
CN-29178,NEEMA MEDICAL SERVICES,UASIN GISHU,PRIVATE,LEVEL 2,0.521314476021,35.31977624114,Uasin Gishu,Success,
CN-29188,FOUNTAIN HEALTHCARE LTD BUNGOMA,BUNGOMA,PRIVATE,LEVEL 4,0.5705677,34.5599957,Bungoma,Success,
CN-29206,AVENUE HOSPITAL THIKA,KIAMBU,PRIVATE,LEVEL 4,-1.0456234,37.0751363,"Thika, Kiambu",Success,
CN-29251,SOWETO KAYOLE PRIMARY HEALTH CENTRE,NAIROBI,PRIVATE,LEVEL 3B,-1.2857857,36.8200253,Nairobi,Success,
CN-29314,SAVANNAH ROYAL HOSPITAL GARISSA LIMITED,GARISSA,PRIVATE,LEVEL 4,-0.4459246,39.652735,Garissa,Success,
CN-29317,SHEWA MEDICAL CLINIC LIMITED,MANDERA,PRIVATE,LEVEL 3B,3.370055804436,40.694029088396,Mandera,Success,
CN-29353,BARTS MEDICAL LIMITED,MANDERA,PRIVATE,LEVEL 3B,3.370055804436,40.694029088396,Mandera,Success,
CN-29357,AL-RASHAD MEDICAL CENTRE,GARISSA,PRIVATE,LEVEL 2,-0.4513357,39.6459576,Ankara Medical Centre,Success,
CN-29361,ULTRA KATHIANI HOSPITAL LIMITED,MACHAKOS,PRIVATE,LEVEL 4,-1.4163214711,37.298467027939,"Kathiani, Machakos",Success,
CN-29366,WESTLIFE HOSPITAL LIMITED,KISII,PRIVATE,LEVEL 4,-0.775814232663,34.777005852014,Kisii,Success,
CN-29415,MATATA NURSING HOME,HOMA BAY,PRIVATE,LEVEL 4,-0.545235884388,34.356395993113,Homa Bay,Success,
CN-29416,SAWA SAWA HEALTH SERVICES,KIAMBU,PRIVATE,LEVEL 2,-1.171808,36.82904,Vam Health Services,Success,
CN-29443,THE QORAHEY NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3A,3.370055804436,40.694029088396,Mandera,Success,
CN-29454,LIMURU COTTAGE HOSPITAL KENTMERE ANNEX,KIAMBU,PRIVATE,LEVEL 3B,-1.142458153456,36.624576172153,"Limuru, Kiambu",Success,
CN-29475,HEALTHY MIND CONSULTANTS LIMITED,NAIROBI,PRIVATE,LEVEL 2,-1.2965059,36.8073507,International Medical Consultants Limited,Success,
CN-29540,DID NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3B,1.75504011033,40.017147679353,Wajir,Success,
CN-29563,APEX MOUNTAIN HOSPITAL,MARSABIT,PRIVATE,LEVEL 3B,1.5920383,37.8029506,Hospital,Success,
CN-29611,BUNYORE MEDICAL CENTRE LIMITED,VIHIGA,PRIVATE,LEVEL 3A,0.080745,34.6029238,"Bunyore, Vihiga",Success,
CN-29623,MEDIBLESS HEALTHCARE LIMITED,NAROK,PRIVATE,LEVEL 2,-1.257270424837,35.575800972424,Narok,Success,
CN-29669,MASAANTARE MEDICAL &amp; DIAGNOSTIC CENTRE,NAROK,PRIVATE,LEVEL 3A,-1.257270424837,35.575800972424,Narok,Success,
CN-29684,ELIMAT GROUP NURSING HOME(BUKHAKUNGA) LIMITED,KAKAMEGA,PRIVATE,LEVEL 3A,0.28422,34.75229,Kakamega,Success,
CN-29748,KATAM MEDICAL CENTRE LIMITED,BARINGO,PRIVATE,LEVEL 2,0.671904478344,35.940931127722,Baringo,Success,
CN-29767,EMBU CHILDREN HOSPITAL,EMBU,PRIVATE,LEVEL 5,-0.5379964,37.4543311,Embu,Success,
CN-29776,ROYAL VICTORIA HOSPITAL YALA,SIAYA,PRIVATE,LEVEL 3B,0.0868294,34.5445186,"Yala, Siaya",Success,
CN-29792,JOLELIAN HEALTHCARE CENTRE,NAIROBI,PRIVATE,LEVEL 3A,-1.3345659,36.8334263,Imara Healthcare Centre,Success,
CN-29803,UPLANDS PLANET MEDICAL CENTRE,KIAMBU,PRIVATE,LEVEL 2,-1.0398384,36.6397782,"Uplands, Kiambu",Success,
CN-29824,BETH MEDICAL SERVICES,KISII,PRIVATE,LEVEL 3A,-0.775814232663,34.777005852014,Kisii,Success,
CN-29834,TURBO MOUNTAIN VIEW CLINIC,UASIN GISHU,PRIVATE,LEVEL 2,0.58031737897,35.140858399304,"Turbo, Uasin Gishu",Success,
CN-29847,LENMEK CLINIC,KISII,PRIVATE,LEVEL 2,-0.775814232663,34.777005852014,Kisii,Success,
CN-29920,RFH SPECIALIST HOSPITAL,NAIROBI,PRIVATE,LEVEL 5,-1.2888132,36.7979592,Garden Specialist Hospital,Success,
CN-29968,ACK ST.LUKES MISSION NURSING HOME,KILIFI,PRIVATE,LEVEL 3B,-3.176503150822,39.68804728776,Kilifi,Success,
CN-29987,STIRLING MEDICAL CENTRE,BUSIA,PRIVATE,LEVEL 3B,0.38569164205,34.193072581938,Busia,Success,
CN-30044,STAR CHILDREN HOSPITAL,KISUMU,PRIVATE,LEVEL 3A,-0.0875255,34.7724442,Obama Children's Hospital,Success,
CN-30065,NENO OPTICIANS LIMITED,KIAMBU,PRIVATE,LEVEL 2,-1.1672396,36.8255013,Kiambu,Success,
CN-30090,JEMINDAS NURSING HOME LIMITED,NAIROBI,PRIVATE,LEVEL 3B,-1.2857857,36.8200253,Nairobi,Success,
CN-30106,THE KINGS MEDICAL CLINIC,NAKURU,PRIVATE,LEVEL 3A,-0.2989828,36.067634,Al-Gadhir Medical Clinic,Success,
CN-30134,MARK TUMAINI MEDICAL CENTRE - KIRURA,KIAMBU,PRIVATE,LEVEL 3B,-1.2134912,36.7617444,"Karura, Kiambaa, Kiambu",Success,
CN-30145,THE AGA KHAN UNIVERSITY HOSPITAL NAIROBI,NAIROBI,PRIVATE,LEVEL 6B,-1.2622252,36.8236366,Aga Khan University Hospital - Nairobi,Success,
CN-30159,KOMAROCK MODERN HEALTHCARE UTAWALA,NAIROBI,PRIVATE,LEVEL 5,-1.2857857,36.8200253,Nairobi,Success,
CN-30207,GRANDLIVE MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 3A,-1.31244,36.79729,Medical Centre,Success,
CN-30220,OLYMUS HEALTHCARE CENTER LTD,KAKAMEGA,PRIVATE,LEVEL 2,0.28422,34.75229,Kakamega,Success,
CN-30238,TEDRAYNER MEMORIAL CLINIC LIMITED,HOMA BAY,PRIVATE,LEVEL 2,-0.545235884388,34.356395993113,Homa Bay,Success,
CN-30246,SOLOTA NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3A,3.370055804436,40.694029088396,Mandera,Success,
