Application Number,Facility Name,County,Facility Type,Keph Level
CN-40685,LAIKIPIA UNIVERSITY MEDICAL CENTRE NYAHURURU,LAIKIPIA,INSTITUTIONAL,LEVEL 3A
CN-58065,CHEMELIL SUGAR COMPANY HEALTH CENTRE,KISUMU,INSTITUTIONAL,LEVEL 3B
CN-62248,EGERTON UNIVERSITY MEDICAL DEPARTMENT,NAKURU,INSTITUTIONAL,LEVEL 3A
CN-84742,CO-OPERATIVE UNIVERSITY HEALTH UNIT,NAIROBI,INSTITUTIONAL,LEVEL 3A
CN-85197,SOUTH EASTERN KENYA UNIVERSITY HEALTH UNIT,KITUI,INSTITUTIONAL,LEVEL 2
