Application Number,Facility Name,County,Facility Type,Keph Level
CN-10025,MATIBABU FOUNDATION HOSPITAL UGUNJA CLINIC,SIAYA,PRIVATE,LEVEL 2
CN-10047,MERCILIN AFYA SERVICES-MLOLONGO,MACHAKOS,PRIVATE,LEVEL 2
CN-10056,SIHA NJEMA HOSPITAL,MERU,PRIVATE,LEVEL 2
CN-10107,TAHRIR HEALTHCARE SERVICES LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-10112,INTERNATIONAL OPTICA LAMU,MOMBASA,PRIVATE,LEVEL 2
CN-10138,OAKLAND MEDICAL CENTRE,NAKURU,PRIVATE,LEVEL 3B
CN-10224,SLENMARK MEDICAL CLINIC,KIRINYAGA,PRIVATE,LEVEL 3A
CN-10239,MULATYA MEMORIAL HOSPITAL,MAKUENI,PRIVATE,LEVEL 4
CN-10247,GERMAN MEDICAL CENTRE LTD,NAIROBI,PRIVATE,LEVEL 4
CN-10257,FLODER MEDICAL CENTRE,KIRINYAGA,PRIVATE,LEVEL 3A
CN-10291,PENDA MEDICAL CENTRE SUNTON,NAIROBI,PRIVATE,LEVEL 3A
CN-10295,MOYALE MADINA MEDICAL AND SURGICAL CLINIC,MARSABIT,PRIVATE,LEVEL 2
CN-10296,WESPRAM MEDICAL CENTRE,SIAYA,PRIVATE,LEVEL 3A
CN-10299,ST. THOMAS MATERNITY HOSPITAL,MOMBASA,PRIVATE,LEVEL 4
CN-10314,BONDO BARKOWINO MEDICAL CENTRE LTD,SIAYA,PRIVATE,LEVEL 2
CN-10368,DORAN LIFE CARE CENTRE,KAKAMEGA,PRIVATE,LEVEL 3B
CN-10406,FREEDOM OF LIFE MED CLINIC,MERU,PRIVATE,LEVEL 2
CN-10430,SAVANNAH HEALTHCARE SERVICES,NAIROBI,PRIVATE,LEVEL 2
CN-10440,RELSUN MEDICAL CLINIC,KERICHO,PRIVATE,LEVEL 2
CN-10459,BUNGOMA WEST HOSPITAL,BUNGOMA,PRIVATE,LEVEL 5
CN-10492,AGISO HEALTHCARE,HOMA BAY,PRIVATE,LEVEL 3B
CN-10501,RAVINE GLORY HEALTHCARE SERVICES,BARINGO,PRIVATE,LEVEL 3A
CN-10551,STAR SPECIALIST HOSPITAL LIMITED,KILIFI,PRIVATE,LEVEL 4
CN-10563,KING SOLOMON MEDICAL CENTER LIMITED,NAROK,PRIVATE,LEVEL 2
CN-10564,EASTGATE MEDICAL CENTRE,MANDERA,PRIVATE,LEVEL 3B
CN-10594,MARIAKANI COMMUNITY HEALTHCARE SERVICES.,KILIFI,PRIVATE,LEVEL 3B
CN-10598,KYOME HOSPITAL TALA,MACHAKOS,PRIVATE,LEVEL 3B
CN-10626,NYATIEKO -GESUSU HEALTH SERVICES,KISII,PRIVATE,LEVEL 3B
CN-10652,GAKIRA FAMILY HEALTH CARE LIMITED,MURANGA,PRIVATE,LEVEL 3A
CN-10671,KIRIMUKUYU MEDICAL CENTRE,NYERI,PRIVATE,LEVEL 2
CN-10695,FAMLIFE MEDICARE CENTRE LIMITED,NAIROBI,PRIVATE,LEVEL 3A
CN-10735,NEW APEX FAMILY HOSPITAL-PANPAPER,KAKAMEGA,PRIVATE,LEVEL 2
CN-10758,ST. JAMES LIFE CARE HOSPITAL LIMITED,SIAYA,PRIVATE,LEVEL 4
CN-10806,ULTRA KATHIANI HOSPITAL LIMITED-MITABONI,MACHAKOS,PRIVATE,LEVEL 3A
CN-10812,ST. MARY INTEGRATED MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 3B
CN-10859,PENDA MEDICAL CENTER KANGEMI,NAIROBI,PRIVATE,LEVEL 3A
CN-10920,NEOGLOBAL MEDICARE LIMITED-NURSING HOME,MIGORI,PRIVATE,LEVEL 3B
CN-10933,CARLMAX APEX MEDICAL CLINIC,EMBU,PRIVATE,LEVEL 2
CN-10950,NAJRAN MEDICAL CENTRE LIMITED,WAJIR,PRIVATE,LEVEL 3A
CN-10973,POLYCARE MEDICAL CLINIC,KITUI,PRIVATE,LEVEL 3A
CN-10978,RFH HEALTHCARE - SYOKIMAU,MACHAKOS,PRIVATE,LEVEL 4
CN-10983,DONKON MEDICAL CLINIC,UASIN GISHU,PRIVATE,LEVEL 2
CN-11083,BEEHIVE MEDICAL SERVICES,MARSABIT,PRIVATE,LEVEL 3A
CN-11125,ENZAI AFYA MEDICAL CLINIC,MAKUENI,PRIVATE,LEVEL 2
CN-11164,KANAM MEDICARE,TURKANA,PRIVATE,LEVEL 2
CN-11166,TAWHEED MEDICAL CLINIC,GARISSA,PRIVATE,LEVEL 2
CN-11185,DANID CENTRE FOR CHRONIC ILLNESS LTD,KISUMU,PRIVATE,LEVEL 3A
CN-11190,DOCTA MAASAI HEALTHCARE,MOMBASA,PRIVATE,LEVEL 2
CN-11204,ROBINS HEALTHCARE LIMITED,MERU,PRIVATE,LEVEL 4
CN-11208,GANJONI HOSPITAL MOMBASA LIMITED,MOMBASA,PRIVATE,LEVEL 4
CN-11244,EASTERN DEANERY AIDS RELIEF PROGRAM KARIOBANGI CLINIC,NAIROBI,PRIVATE,LEVEL 2
CN-11285,AL-AMIN HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 4
CN-11295,WESTLANDS LASER EYE HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 4
CN-11371,NAIVASHA QUALITY HEALTHCARE SERVICES LTD,NAKURU,PRIVATE,LEVEL 3B
CN-11415,TUDOR HEALTHCARE - LIKONI,MOMBASA,PRIVATE,LEVEL 2
CN-11429,DANDELION MEDICAL CENTRE,NAKURU,PRIVATE,LEVEL 3A
CN-11501,JOSM MEDICAL CLINIC,THARAKA-NITHI,PRIVATE,LEVEL 2
CN-11502,MAKADARA HEALTH CARE AND MATERNITY HOME,MACHAKOS,PRIVATE,LEVEL 3B
CN-11510,AFYA RESEARCH AFRICA-UBUNTU AFYA NINALAKESIDE,SIAYA,PRIVATE,LEVEL 2
CN-11517,PENDA MEDICAL CENTRE MATHARE NORTH,NAIROBI,PRIVATE,LEVEL 3A
CN-11600,PENDA MEDICAL CENTRE UMOJA 1,NAIROBI,PRIVATE,LEVEL 3A
CN-11603,NEVLIGHT HOSPITAL LIMITED,MERU,PRIVATE,LEVEL 3A
CN-11604,GRANTON & DOLLY NURSING HOME LIMITED,EMBU,PRIVATE,LEVEL 3A
CN-11622,CCS MITUNGUU MEDICAL CLINIC,MERU,PRIVATE,LEVEL 2
CN-11633,GLOBAL OPTIC WEAR,MACHAKOS,PRIVATE,LEVEL 3B
CN-11911,SAIFEE FOUNDATION MEDICAL CENTRE,MOMBASA,PRIVATE,LEVEL 3B
CN-11940,ORACLE HEALTHCARE LIMITED,KERICHO,PRIVATE,LEVEL 3B
CN-11961,QUALITY DIALYSIS KENYA LTD UPPERHILL,NAIROBI,PRIVATE,LEVEL 4B
CN-11985,SWISS COTTAGE HOSPITAL-MTWAPA,KILIFI,PRIVATE,LEVEL 3B
CN-12013,CHIROMO MENTAL HEALTH HOSPITAL -NAIROBI LIMITED,NAIROBI,PRIVATE,LEVEL 5
CN-12043,MEDIFORTE HOSPITAL CLINIC,NYAMIRA,PRIVATE,LEVEL 2
CN-12045,CAPITAL MEMORIAL NURSING HOME,MAKUENI,PRIVATE,LEVEL 3A
CN-12054,KALOKOL MEDICAL SERVICES,TURKANA,PRIVATE,LEVEL 3A
CN-12061,WAMA NURSING HOME,KAJIADO,PRIVATE,LEVEL 4
CN-12114,PHINAL COMMUNITY MEDICAL CENTRE,BUNGOMA,PRIVATE,LEVEL 3A
CN-12132,ALFAPLUS MEDICAL CENTER,MOMBASA,PRIVATE,LEVEL 2
CN-12162,SANGALO HOSPICE MEDICAL CLINIC,NANDI,PRIVATE,LEVEL 2
CN-12166,MEDISTAR ANNEX KERICHO LIMITED,KERICHO,PRIVATE,LEVEL 2
CN-12203,THE SANURA MEDICAL CENTRE,HOMA BAY,PRIVATE,LEVEL 3A
CN-12207,SANTA CLARA MEDICAL CLINIC LTD,BARINGO,PRIVATE,LEVEL 2
CN-12227,WENISA MEDICAL CENTRE-NUNGUNI,MAKUENI,PRIVATE,LEVEL 3B
CN-12235,PRIME HEALTH SERVICES - KAHAWA WEST,NAIROBI,PRIVATE,LEVEL 2
CN-12303,WEST CANO MEDICAL CENTRE,BUNGOMA,PRIVATE,LEVEL 2
CN-12305,KOMAROCK MODERN HEALTHCARE- KATHWANA,THARAKA-NITHI,PRIVATE,LEVEL 5
CN-12319,PENDA MEDICAL CENTRE PIPELINE,NAIROBI,PRIVATE,LEVEL 3A
CN-12356,THE KAMUWONGO HOPE MEDICARE CENTRE,KITUI,PRIVATE,LEVEL 3B
CN-12432,KAPKOLEI HEALTH CARE CENTRE,NANDI,PRIVATE,LEVEL 2
CN-12471,ADC MARKET NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-12498,AFYALINK MEDICAL CENTRE,KIRINYAGA,PRIVATE,LEVEL 3B
CN-12581,CHACAWEST HEALTHCARE,MACHAKOS,PRIVATE,LEVEL 2
CN-12619,BIG DIMENSION EYE CLINIC,KAJIADO,PRIVATE,LEVEL 2
CN-12694,ST. AKIDIVA MINDIRA HOSPITAL MABERA,MIGORI,PRIVATE,LEVEL 4
CN-12695,YETU KABIRIA HEALTHCARE AND SUPPLIES LIMITED,NAIROBI,PRIVATE,LEVEL 2
CN-12728,SOUTH C DIALYSIS CENTRE LTD,NAIROBI,PRIVATE,LEVEL 3B
CN-12734,NELLY NURSING HOSPITAL AND MATERNITY,NAIROBI,PRIVATE,LEVEL 3B
CN-12748,DURO MODERN HOSPITAL LIMITED,NAKURU,PRIVATE,LEVEL 3A
CN-12760,MENORAH HOSPITAL (K )LTD-WESTLANDS MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 3B
CN-12767,LIFE POINT HOSPITAL,KIAMBU,PRIVATE,LEVEL 4
CN-12768,EL-MAKKAH COMPREHENSIVE CARE,GARISSA,PRIVATE,LEVEL 3A
CN-12776,MASII MEDICAL CENTRE,MACHAKOS,PRIVATE,LEVEL 3B
CN-12781,ST.MARK ORTHODOX HEALTH CENTRE LIMITED,VIHIGA,PRIVATE,LEVEL 3A
CN-12837,REALE HOSPITAL ELDORET,UASIN GISHU,PRIVATE,LEVEL 5
CN-12840,WHITELIFE HEALTH CENTRE LTD,MOMBASA,PRIVATE,LEVEL 2
CN-12850,NAIROBI WEST HOSPITAL-UTAWALA MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 3A
CN-12873,MUTETHIA KIRAONE NURSING HOME,MERU,PRIVATE,LEVEL 3B
CN-12884,BLESSED TO BLESS HEALTHCARE LIMITED,NAIROBI,PRIVATE,LEVEL 3B
CN-12971,HEGALOW NURSING HOME,MANDERA,PRIVATE,LEVEL 3A
CN-12999,MUSOLI MEDICAL CENTRE LTD,KAKAMEGA,PRIVATE,LEVEL 3B
CN-13015,ASSISI NURSING HOME,MACHAKOS,PRIVATE,LEVEL 3B
CN-13025,NYABOHANSE MEDICAL CENTRE,MIGORI,PRIVATE,LEVEL 3A
CN-13040,NAIROBI MENTAL HEALTH SERVICES,NAIROBI,PRIVATE,LEVEL 4B
CN-13052,HEALTH WAVE MEDICAL SERVICES LIMITED-HOSPITAL,NAKURU,PRIVATE,LEVEL 4
CN-13086,ALMO NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-13103,THE GODS FAVOUR MEDICAL CLINIC,UASIN GISHU,PRIVATE,LEVEL 3A
CN-13176,INTERFELK MEDICAL CENTRE,KISUMU,PRIVATE,LEVEL 2
CN-13180,BOGEKA MEDICAL CLINIC,KISII,PRIVATE,LEVEL 2
CN-13182,MAGWALAND HEALTHCARE,NYAMIRA,PRIVATE,LEVEL 3B
CN-13184,DEDE HARMONY MEDICAL CENTRE AND MATERNITY HOME,MIGORI,PRIVATE,LEVEL 3A
CN-13196,NAMUNYAK MEDICAL CENTRE,KAJIADO,PRIVATE,LEVEL 3B
CN-13201,LYDIA MEMORIAL KEY MEDICAL CENTER LIMITED,MACHAKOS,PRIVATE,LEVEL 3A
CN-13273,GYNOCARE WOMENS AND FISTULA HOSPITAL LTD,UASIN GISHU,PRIVATE,LEVEL 4
CN-13290,APODA MEDICAL CLINIC,HOMA BAY,PRIVATE,LEVEL 2
CN-13306,WEMA CHILDREN\\'S ACCESS CLINICS-BY GERTRUDES,NAIROBI,PRIVATE,LEVEL 3A
CN-13339,SHIFAH HOSPITAL AND DIALYSIS CENTER LIMITED,TRANS-NZOIA,PRIVATE,LEVEL 4
CN-13352,QATIS NURSING HOME LTD,MANDERA,PRIVATE,LEVEL 3A
CN-13462,MITUNGUU HOSPITAL,MERU,PRIVATE,LEVEL 4
CN-13513,ST ERNEST MEDICAL POINT CLINIC LIMITED,MACHAKOS,PRIVATE,LEVEL 2
CN-13530,UNIVERSAL FAMILY HEALTH SERVICES.,MACHAKOS,PRIVATE,LEVEL 5
CN-13540,LINDA JAMII HEALTHCARE LTD,SIAYA,PRIVATE,LEVEL 2
CN-13629,MODERN REDSEA NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-13646,WELCARE DIAGNOSTIC CENTRE LIMITED-VIPINGO,KILIFI,PRIVATE,LEVEL 2
CN-13665,NEBOI NURSING HOME,MANDERA,PRIVATE,LEVEL 3B
CN-13721,AZIM NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-13753,ST NEWFREB HOSPITAL LIMITED,KISUMU,PRIVATE,LEVEL 3B
CN-13754,AL-MAQDIS MEDICAL CENTRE,GARISSA,PRIVATE,LEVEL 4
CN-13757,ISANA NURSING HOME,KISII,PRIVATE,LEVEL 3B
CN-13849,MUDHESH HEALTH CARE & NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-13903,PENDA MEDICAL CENTRE LANGATA,NAIROBI,PRIVATE,LEVEL 3A
CN-13905,CHEPTULU CFW CLINIC,VIHIGA,PRIVATE,LEVEL 2
CN-13918,RAMMO HOSPITAL LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-13924,ANDERSEN MEDICAL CENTRE,TRANS-NZOIA,PRIVATE,LEVEL 3B
CN-13927,SABA MEDICAL CENTRE,MURANGA,PRIVATE,LEVEL 3A
CN-13934,GREATSMILES DENTAL CENTRE,NAKURU,PRIVATE,LEVEL 2
CN-13978,SANTAMORE SPECIALIZED SURGICAL HOSPITAL LIMITED,MURANGA,PRIVATE,LEVEL 4B
CN-14020,SIHA MEDICAL HOME LIMITED MPEKETONI,LAMU,PRIVATE,LEVEL 4
CN-14021,MASALANI DIAGNOSTIC LIMITED,GARISSA,PRIVATE,LEVEL 4
CN-14142,CHARITY MEDICAL HOSPITAL,LAIKIPIA,PRIVATE,LEVEL 4
CN-14199,AFYA HILL MEDICAL CENTRE,NYAMIRA,PRIVATE,LEVEL 3A
CN-14207,BUNGOMA WEMA CENTRE,BUNGOMA,PRIVATE,LEVEL 3A
CN-14239,BARAKA MATERNITY & NURSING HOME,NAKURU,PRIVATE,LEVEL 3A
CN-14241,ELDO EYE HEALTH SERVICES LIMITED,NANDI,PRIVATE,LEVEL 4
CN-14251,IKANGA HOPE DIAGNOSTIC &amp; TREATMENT CENTRE,KITUI,PRIVATE,LEVEL 3A
CN-14360,BURDER NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-14435,STAR GENERAL MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 3B
CN-14453,LUKENYA UNIVERSITY HEALTH CENTRE,MAKUENI,PRIVATE,LEVEL 2
CN-14493,THE NAIROBI WOMEN\\'S HOSPITAL KITENGELA,KAJIADO,PRIVATE,LEVEL 4
CN-14497,MASENO MEDICAL CENTER,VIHIGA,PRIVATE,LEVEL 3A
CN-14508,WAFOO HEALTHCARE,NAROK,PRIVATE,LEVEL 2
CN-14537,MACHAKOS CHILDREN\\'S CLINIC LIMITED,MACHAKOS,PRIVATE,LEVEL 3A
CN-14543,ILATU MEDICAL CLINIC,MAKUENI,PRIVATE,LEVEL 2
CN-14560,NYAHURURU PRIVATE HOSPITAL,LAIKIPIA,PRIVATE,LEVEL 4
CN-14574,ST. CRISPIN AFYA HOSPITAL LIMITED,KAJIADO,PRIVATE,LEVEL 3B
CN-14604,RADIANT GROUP HOSPITAL LIMITED PANGANI,NAIROBI,PRIVATE,LEVEL 5
CN-14623,ST. JOSEPH\\'S NURSING & MATERNITY HOME SALGAA,NAKURU,PRIVATE,LEVEL 2
CN-14636,GILGIL HEALTHCARE MEDICAL CENTRE LIMITED,NAKURU,PRIVATE,LEVEL 3B
CN-14661,MAASUD PHARMACY AND MEDICAL CENTRE LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-14746,NEXICARE MEDICAL CLINIC,NAIROBI,PRIVATE,LEVEL 3A
CN-14763,GRAPEVINE HEALTH CARE CENTRE,NAKURU,PRIVATE,LEVEL 2
CN-14820,WESTOLDREX MEDICAL CENTRE LTD,BUNGOMA,PRIVATE,LEVEL 2
CN-14836,BETHESDA MEDICAL CLINIC,NANDI,PRIVATE,LEVEL 3A
CN-14882,TRANQUIL MED CENTRE LIMITED,NAIROBI,PRIVATE,LEVEL 4
CN-14890,JAMHURI LIFE CARE HOSPITAL LIMITED,MANDERA,PRIVATE,LEVEL 4
CN-14940,SHELETEY NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-14968,DR BENS\\' STANFORD MEDICAL CENTRE,KILIFI,PRIVATE,LEVEL 2
CN-14986,NEW LIFE MISSION ROTARY CLINIC RONGAI,KAJIADO,PRIVATE,LEVEL 2
CN-15005,BULLE MEDICAL CENTRE,GARISSA,PRIVATE,LEVEL 3B
CN-15085,DIANI BEACH HOSPITAL LIMITED-SHIKA ADABU,MOMBASA,PRIVATE,LEVEL 4
CN-15103,THIKA NURSING HOMES LTD,KIAMBU,PRIVATE,LEVEL 3B
CN-15130,SHAMAAL HOSPITAL-BANISA LIMITED,MANDERA,PRIVATE,LEVEL 4
CN-15135,ST. LAWRENCE HOMA BAY HOSPITAL,HOMA BAY,PRIVATE,LEVEL 4
CN-15171,GECA MEDICAL CLINIC,MOMBASA,PRIVATE,LEVEL 2
CN-15224,SIRIBA NURSING HOME,WAJIR,PRIVATE,LEVEL 4
CN-15301,PONA HAVEN HOSPITAL,MAKUENI,PRIVATE,LEVEL 3B
CN-15316,LANET MEDICAL CENTRE,NAKURU,PRIVATE,LEVEL 3B
CN-15318,ANGELS HEALTH SERVICES,MERU,PRIVATE,LEVEL 3A
CN-15340,JORDAN HOSPITAL,KITUI,PRIVATE,LEVEL 5
CN-15385,TENDERCARE HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 3B
CN-15423,CHEPSONOI UZIMA MEDICAL CENTRE LIMITED,NANDI,PRIVATE,LEVEL 2
CN-15441,MOTHER SOLBRIT HEALTH CENTRE,MIGORI,PRIVATE,LEVEL 3B
CN-15507,PRIMECARE ENDOSCOPY AND SURGERY CENTER LIMITED,NAIROBI,PRIVATE,LEVEL 3A
CN-15530,LESPOIR MEDICAL CENTER,NAIROBI,PRIVATE,LEVEL 2
CN-15586,ZAMNAL NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3A
CN-15590,GENERATION AFYA CENTRE,BARINGO,PRIVATE,LEVEL 3A
CN-15593,NABSIT NURSING HOME,WAJIR,PRIVATE,LEVEL 4
CN-15677,MY CLINIC LLP,MACHAKOS,PRIVATE,LEVEL 2
CN-15681,YO-MALER MEDICAL CENTRE,SIAYA,PRIVATE,LEVEL 2
CN-15708,BENTA AND LEON HEALTHCARE LTD,NAKURU,PRIVATE,LEVEL 4
CN-15724,MARY IMMACULATE HEALTH CENTRE BAHATI,NAIROBI,PRIVATE,LEVEL 3B
CN-15746,WARSAMEE NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-15796,CKS DIALYSIS CENTRE PANGANI,NAIROBI,PRIVATE,LEVEL 4B
CN-15829,CONNECTION HEALTH SERVICES LIMITED,BUNGOMA,PRIVATE,LEVEL 3B
CN-15846,ORUBA NURSING & MATERNITY HOME,MIGORI,PRIVATE,LEVEL 3B
CN-15923,MEDICROSS ANANAS,KIAMBU,PRIVATE,LEVEL 2
CN-15960,ANFAC NURSING HOME,GARISSA,PRIVATE,LEVEL 3B
CN-15978,CRESCENT COMMUNITY HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 4
CN-16024,GLOBAL OPTIC WEAR EYE CLINIC,KITUI,PRIVATE,LEVEL 2
CN-16025,UNITY MATERNITY AND NURSING HOME UMOJA,NAIROBI,PRIVATE,LEVEL 3B
CN-16028,HOMEGROUND MEDICAL CENTRE,SIAYA,PRIVATE,LEVEL 4
CN-16035,EQUITY AFIA NGONG ROAD,NAIROBI,PRIVATE,LEVEL 3B
CN-16053,CHAANI MEDICAL CLINIC,MOMBASA,PRIVATE,LEVEL 2
CN-16067,PRO-CARE COTTAGE HOSPITAL LIMITED WEMPA,MURANGA,PRIVATE,LEVEL 2
CN-16128,ALPHOND MEDICAL CLINIC,KAKAMEGA,PRIVATE,LEVEL 2
CN-16185,ST ANNA HOSPITAL WEBUYE,BUNGOMA,PRIVATE,LEVEL 3A
CN-16223,AL-HAMDU NURSING HOME,WAJIR,PRIVATE,LEVEL 3B
CN-16236,FREMO MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 3B
CN-16257,GAGABA NURSING HOME LTD,MANDERA,PRIVATE,LEVEL 3B
CN-16338,PHINAL COMMUNITY MEDICAL CENTRE,BUNGOMA,PRIVATE,LEVEL 3A
CN-16347,MERCILIN AFYA SERVICES,MACHAKOS,PRIVATE,LEVEL 2
CN-16397,MADINA HOSPITAL LTD,NAIROBI,PRIVATE,LEVEL 4
CN-16441,KMET CORKRAN HEALTH CENTRE,KISUMU,PRIVATE,LEVEL 2
CN-16478,APEX SPECIAL CLINICS AND WELLNESS CENTRE LTD,MANDERA,PRIVATE,LEVEL 4
CN-16501,SUMMIT ORTHOPEDICS AND SURGICAL HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 4
CN-16536,BISHARO NURSING HOME LIMITED,TANA RIVER,PRIVATE,LEVEL 3B
CN-16584,LELWAK MEDICAL CLINIC,NANDI,PRIVATE,LEVEL 3A
CN-16634,CHOMBA GITAU NEEMA MEDICAL CENTRE,KIAMBU,PRIVATE,LEVEL 3B
CN-16680,THE MAKUENI DOCTORS PLAZA LIMITED,MAKUENI,PRIVATE,LEVEL 4
CN-16683,THE BALOZI HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 5
CN-16718,BLISS MEDICAL CLINIC MUMIAS,KAKAMEGA,PRIVATE,LEVEL 3B
CN-16730,RIYAAD MEDICAL CENTRE LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-16736,DAMASA NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-16757,KERICHO OUTPATIENT MEDICAL CENTRE,KERICHO,PRIVATE,LEVEL 3A
CN-16774,CHEPTUR HEALTH SERVICES,BOMET,PRIVATE,LEVEL 3A
CN-16832,ST. KIZITO HEALTH CENTRE,MIGORI,PRIVATE,LEVEL 3A
CN-16865,LIBERTY CANCER AND WELLNESS CENTRE,NAKURU,PRIVATE,LEVEL 4B
CN-16911,THE JAZAIR MEDICAL CLINIC LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-16916,UNITED HEALTH GROUP LIMITED-MEDICAL CENTRE,MERU,PRIVATE,LEVEL 3A
CN-16937,KABATI MEDICARE HEALTH CENTRE,KITUI,PRIVATE,LEVEL 3A
CN-17004,SHABAHA CANCER CENTER,NAIROBI,PRIVATE,LEVEL 4B
CN-17021,AL-BUSHRA MEDICAL CENTRE,WAJIR,PRIVATE,LEVEL 4
CN-17074,BAREEN HOSPITAL LIMITED,WAJIR,PRIVATE,LEVEL 3A
CN-17095,TAWHEED COMMUNITY NURSING HOME - MINJILA,TANA RIVER,PRIVATE,LEVEL 3B
CN-17207,SUNNA HEALTHCARE & DENTAL SERVICES,GARISSA,PRIVATE,LEVEL 3A
CN-17231,TAMIM MEDICAL CENTRE LTD,MANDERA,PRIVATE,LEVEL 3A
CN-17267,RHEEMAH HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 3B
CN-17271,AL MAIDAH NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3A
CN-17282,KIP\\'S MEDICAL CENTRE LIMITED,TURKANA,PRIVATE,LEVEL 2
CN-17287,ANISAA MEDICAL CARE,NAIROBI,PRIVATE,LEVEL 3B
CN-17307,LANE CARE MEDICAL CENTRE,MACHAKOS,PRIVATE,LEVEL 2
CN-17324,EQUITY AFIA MANDERA MEDICALL CENTRE,MANDERA,PRIVATE,LEVEL 3A
CN-17348,LIFECARE HOSPITAL LIMITED-KIKUYU,KIAMBU,PRIVATE,LEVEL 4
CN-17378,ELBURGON MATERNITY HOME,NAKURU,PRIVATE,LEVEL 3A
CN-17417,ELEPHANT DENTAL SERVICES KAPSABET,NANDI,PRIVATE,LEVEL 2
CN-17425,CHIEKO MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 2
CN-17427,MAHAT ALLAH NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-17463,RUOTHS HOSPITAL LIMITED,SIAYA,PRIVATE,LEVEL 3B
CN-17537,JAMII MEDICAL CLINIC RIOSIRI,KISII,PRIVATE,LEVEL 2
CN-17555,EMALIA COMMUNITY HEALTH CENTER,MIGORI,PRIVATE,LEVEL 3B
CN-17622,VERTICAL LIFE CARE,NANDI,PRIVATE,LEVEL 3A
CN-17652,GARISSA CHILDRENS HOSPITAL LTD,GARISSA,PRIVATE,LEVEL 3B
CN-17654,BESTCARE HOSPITAL LIMITED,MAKUENI,PRIVATE,LEVEL 4
CN-17703,SHEIKHBAROW NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-17758,ABULO MEDICAL CENTER,MANDERA,PRIVATE,LEVEL 3B
CN-17764,AMARA TIBACARE MEDICAL CLINIC,TAITA-TAVETA,PRIVATE,LEVEL 2
CN-17782,NG\\'ANDO RAPHA MEDICAL CENTRE LTD,NAIROBI,PRIVATE,LEVEL 3B
CN-17799,NYANSIONGO MATERNITY AND NURSING HOME,NYAMIRA,PRIVATE,LEVEL 3B
CN-17824,AFRICA INTEGRATED SURGICAL CENTRE LIMITED,KAJIADO,PRIVATE,LEVEL 3A
CN-17829,HATUA PLUS MEDICAL CENTER,HOMA BAY,PRIVATE,LEVEL 2
CN-17868,REHOBOTH MATERNITY &amp; NURSING HOME,KITUI,PRIVATE,LEVEL 3B
CN-17921,ATHI RIVER SHALOM COMMUNITY HOSPITAL,MACHAKOS,PRIVATE,LEVEL 4
CN-17935,DARICY MEDICAL CLINIC,MIGORI,PRIVATE,LEVEL 2
CN-17959,MEDSTA MEDICAL CENTRE,ISIOLO,PRIVATE,LEVEL 2
CN-17968,TANOCARE LIMITED,THARAKA-NITHI,PRIVATE,LEVEL 2
CN-18009,EMBU MEDICAL CENTRE,EMBU,PRIVATE,LEVEL 3A
CN-18039,VOSTRUM KENYA LTD TOI CLINIC,NAIROBI,PRIVATE,LEVEL 2
CN-18076,BLUEBEST MEDICAL CLINIC,NANDI,PRIVATE,LEVEL 2
CN-18185,THE ALTAR MEDICAL CENTER KIBIRICHIA,MERU,PRIVATE,LEVEL 3B
CN-18227,CARE HOSPITAL LTD,NAIROBI,PRIVATE,LEVEL 5
CN-18280,CENTRAL DIALYSIS AND DIAGNOSTIC CENTRE LIMITED,NYERI,PRIVATE,LEVEL 4B
CN-18292,PASLING MEDICAL CENTRE,MIGORI,PRIVATE,LEVEL 3B
