Application Number,Facility Name,County,Facility Type,Keph Level
CN-35374,KASGUNGA COMMUNITY CLINIC,HOMA BAY,PRIVATE,LEVEL 2
CN-35416,CHERANGANY NURSING HOME-TOWN CLINIC,TRANS-NZOIA,PRIVATE,LEVEL 3A
CN-35452,EQUITY AFIA KAYOLE,NAIROBI,PRIVATE,LEVEL 3A
CN-35461,SOGLE NURSING HOME,MANDERA,PRIVATE,LEVEL 4
CN-35462,BUTE NURSING HOME,WAJIR,PRIVATE,LEVEL 4
CN-35481,NEBO HEALTH SOLUTIONS LTD,NYERI,PRIVATE,LEVEL 3B
CN-35505,SUAM WEMA MEDICAL CENTRE,KILIFI,PRIVATE,LEVEL 2
CN-35524,SIKHENDU MEDICAL CLINIC,TRANS-NZOIA,PRIVATE,LEVEL 3A
CN-35539,ROSAMA MEDICAL SERVICES,KAJIADO,PRIVATE,LEVEL 3A
CN-35585,CIALA HOSPITAL KISUMU LIMITED,KISUMU,PRIVATE,LEVEL 3A
CN-35600,THE GOLDEN HEART HOSPITAL,HOMA BAY,PRIVATE,LEVEL 3A
CN-35617,SILOAM HOSPITAL LIMITED-MEDICAL CENTRE LITEIN,KERICHO,PRIVATE,LEVEL 3A
CN-35638,OPTEX OPTICIANS LIMITED,NAIROBI,PRIVATE,LEVEL 2
CN-35642,NEBO HEALTHCARE LIMITED,KISII,PRIVATE,LEVEL 3A
CN-35652,CHEMIN MEDICAL CLINIC,KISII,PRIVATE,LEVEL 3B
CN-35738,CITY POINT GROUP OF HOSPITALS LIMITED,KAJIADO,PRIVATE,LEVEL 4
CN-35777,BENEDETTO HEALTH CENTRE,KILIFI,PRIVATE,LEVEL 3B
CN-35782,ESTHER MEMORIAL MATENITY &amp; NURSING HOME,NAKURU,PRIVATE,LEVEL 3B
CN-35796,PRECIOUS LIFE MEDICAL SERVICES,KWALE,PRIVATE,LEVEL 2
CN-35836,MARYHILL MEDICAL CENTRE,LAIKIPIA,PRIVATE,LEVEL 3B
CN-35857,GARI-HILLS HEALTHCARE LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-35871,THE CLIN-EVE HOSPITAL,MERU,PRIVATE,LEVEL 2
CN-35894,BIN-BARAKAT MEDICAL CENTRE LIMITED,NAIROBI,PRIVATE,LEVEL 3B
CN-35914,HEMA MEDICAL CLINIC,VIHIGA,PRIVATE,LEVEL 2
CN-35962,DOMILINE MEDICAL CENTRE LIMITED,KISII,PRIVATE,LEVEL 3B
CN-35983,AFYA HEALTH SYSTEMS ORGANIZATION,HOMA BAY,PRIVATE,LEVEL 3A
CN-35986,HYNAX MEDICAL CENTRE,NYAMIRA,PRIVATE,LEVEL 2
CN-35993,FIG TREE HEALTH OPTIONS KERICHO LTD,KERICHO,PRIVATE,LEVEL 2
CN-36046,PHARMACOSY MEDICAL CENTRE KEGATI,KISII,PRIVATE,LEVEL 3B
CN-36093,NEW BUSIA MATERNITY & NURSING HOME,BUSIA,PRIVATE,LEVEL 4
CN-36107,MALIFISA HOSPITAL LIMITED,GARISSA,PRIVATE,LEVEL 3B
CN-36108,KALKAAL MEDICAL CENTER LIMITED,WAJIR,PRIVATE,LEVEL 3A
CN-36165,SALAMA YARD MEDICAL CENTER LAB & MATERNITY,NAIROBI,PRIVATE,LEVEL 3B
CN-36187,CHEERA CFW CLINIC,THARAKA-NITHI,PRIVATE,LEVEL 2
CN-36192,BUMALA UZIMA CLINIC,BUSIA,PRIVATE,LEVEL 2
CN-36199,CLEVERHEAL COTTAGE HOSPITAL,MACHAKOS,PRIVATE,LEVEL 3A
CN-36217,GURU NANAK RAMGARHIA HOSPITAL,NAIROBI,PRIVATE,LEVEL 4
