Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-12019,PALM TREE HOUSE LIMITED-REHABILITATION CENTRE,KERICHO,REHABILITATION,LEVEL 3B,-0.296882276918,35.307304593825,Kericho,Success,
CN-28137,NOBILITY HOUSE LIMITED REHABILITATION CENTRE,KIAMBU,REHABILITATION,LEVEL 3B,-1.1672396,36.8255013,Kiambu,Success,
CN-29315,NUEVA ESPERANZA TREATMENT AND REHABILITATION CENTRE LIMITED,KIAMBU,REHABILITATION,LEVEL 3B,-1.1672396,36.8255013,Kiambu,Success,
CN-42050,THE PHOENIX REHABILITATION CENTRE LIMITED,KIAMBU,REHABILITATION,LEVEL 3A,-1.1672396,36.8255013,Kiambu,Success,
CN-46426,BRIGHTSIDE DRUG ABUSE REHABILITATION & TREATMENT CENTRE.,NAIROBI,REHABILITATION,LEVEL 3B,-1.230277,36.761772,Brightside Drug Abuse Rehabilitation and Treatment Centre,Success,
