Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-89103,KOJONGA DISPENSARY,NAROK,COUNTY GOVERNMENT,LEVEL 2,-1.3979141,36.1167248,Dispensary,Success,
CN-89132,MEA DISPENSARY,MERU,COUNTY GOVERNMENT,LEVEL 2,-0.0425769,37.7241186,Dispensary,Success,
CN-89176,TUIKUT HEALTH CENTRE,BUNGOMA,COUNTY GOVERNMENT,LEVEL 3B,0.734403,34.5775074,Health Centre,Success,
CN-89339,SOYMET DISPENSARY,BOMET,COUNTY GOVERNMENT,LEVEL 2,-0.7811634,35.3436058,Dispensary,Success,
CN-89399,UTHIRU HEALTH CENTRE,KIAMBU,COUNTY GOVERNMENT,LEVEL 2,-0.9246246,36.9048433,Health Centre,Success,
CN-89433,ZIANI DISPENSARY,KILIFI,COUNTY GOVERNMENT,LEVEL 2,-3.6367778,39.7493733,Dispensary,Success,
CN-89468,KARURINA DISPENSARY - MANYATTA,EMBU,COUNTY GOVERNMENT,LEVEL 2,-0.4761913,37.5107432,Dispensary,Success,
CN-89532,GAKURWE DISPENSARY,MURANGA,COUNTY GOVERNMENT,LEVEL 2,-0.941978,37.096212,Dispensary,Success,
CN-89543,OLOOLAKIR DISPENSARY,KAJIADO,COUNTY GOVERNMENT,LEVEL 2,-2.4119981,36.5503647,Dispensary,Success,
CN-89586,THAANA-NZAU DISPENSARY,KITUI,COUNTY GOVERNMENT,LEVEL 2,-1.3224713,38.008013,Dispensary,Success,
CN-89659,GARI DISPENSARY,MANDERA,COUNTY GOVERNMENT,LEVEL 2,2.8057895,40.9451382,Dispensary,Success,
CN-89708,OROKWO DISPENSARY,BARINGO,COUNTY GOVERNMENT,LEVEL 2,0.3732912,35.7172503,Dispensary,Success,
CN-89740,KAKIMANYI DISPENSARY,BUNGOMA,COUNTY GOVERNMENT,LEVEL 2,0.5467788,34.7364985,"Kakimanyi, Bungoma",Success,
CN-89758,SABANE DISPENSARY,KAKAMEGA,COUNTY GOVERNMENT,LEVEL 2,0.1989388,34.6675516,Dispensary,Success,
CN-89815,KIBOS SUGAR RESEARCH DISPENSARY,KISUMU,COUNTY GOVERNMENT,LEVEL 2,-0.173053649,34.83985918,Kisumu,Success,
CN-89817,CHEPTEBO DISPENSARY,ELGEYO-MARAKWET,COUNTY GOVERNMENT,LEVEL 2,0.7460522,35.5163533,Dispensary,Success,
CN-89826,MBULIA DISPENSARY,TAITA-TAVETA,COUNTY GOVERNMENT,LEVEL 2,-3.4107926,38.1395958,Dispensary,Success,
CN-89838,MASEKI DISPENSARY,KITUI,COUNTY GOVERNMENT,LEVEL 2,-1.3224713,38.008013,Dispensary,Success,
CN-89848,HARDIMTU DISPENSARY,MANDERA,COUNTY GOVERNMENT,LEVEL 2,2.8057895,40.9451382,Dispensary,Success,
