Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-40685,LAIKIPIA UNIVERSITY MEDICAL CENTRE NYAHURURU,LAIKIPIA,INSTITUTIONAL,LEVEL 3A,0.03813,36.36339,"Nyahururu, Laikipia",Success,
CN-58065,CHEMELIL SUGAR COMPANY HEALTH CENTRE,KISUMU,INSTITUTIONAL,LEVEL 3B,-0.173053648767,34.839859182104,Kisumu,Success,
CN-62248,EGERTON UNIVERSITY MEDICAL DEPARTMENT,NAKURU,INSTITUTIONAL,LEVEL 3A,-0.36667,35.93333,Egerton University,Success,
CN-84742,CO-OPERATIVE UNIVERSITY HEALTH UNIT,NAIROBI,INSTITUTIONAL,LEVEL 3A,-1.366374,36.736068,Co-Operative University College Of Kenya,Success,
CN-85197,SOUTH EASTERN KENYA UNIVERSITY HEALTH UNIT,KITUI,INSTITUTIONAL,LEVEL 2,-1.493161090519,38.407478986946,Kitui,Success,
