Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-31520,MATHARI NATIONAL TEACHING AND REFERRAL HOSPITAL,NAIROBI,GOVERNMENT OF KENYA (GOK),LEVEL 6B,-1.248985466667,36.877366766667,"Mathare, Nairobi",Success,
CN-34413,DEFENCE FORCES WELLNESS CENTRE,NAIROBI,GOVERNMENT OF KENYA (GOK),LEVEL 4,-1.2857857,36.8200253,Nairobi,Success,
CN-47755,NATIONAL SPINAL INJURY REFERRAL HOSPITAL,NAIROBI,GOVERNMENT OF KENYA (GOK),LEVEL 6B,-1.2881058,36.793916,National Spinal Injury Unit,Success,
